review,clean_text,sentiment
I love this Game I've beat this game on my other phone and my phone dropped in the tub giving my dog a bath and then lost that phone so that phone is long gone now but I have to start over witch is sad I was married and had two kids and it didnt save to my other phone for what reason I dont know I'm sad and upset I have to start over BUT THIS GAME IS MY FAV GAME THATS ON PLAY STORE I LOVE THIS GAME SO MUCH MY FAVORITE GAME IN THE WORLD I WISH I COULD GET MY GAME SAVE BACK TO THIS PHONE,love game beat game phone phone dropped tub giving dog bath lost phone phone long gone start witch sad married two kid save phone reason know sad upset start game fav game play store love game much favorite game world wish could get game save back phone,positive
Hidi,hidi,neutral
"The game is fun, the puzzles and everything, but the ads are just INSANE. After each level there's an ad, if you took a bit long in the level an ad shows up, if you lost the level and will replay it an ad shows up. I really can't play this is so stupid and annoying. It's unbearable fr.",game fun puzzle everything ad insane level ad took bit long level ad show lost level replay ad show really play stupid annoying unbearable fr,negative
sự kiện đẩy xu như l 👍,sự kiện đẩy xu như l thumb,neutral
Cartoon game khelege free fire,cartoon game khelege free fire,neutral
Good when I'm bored,good bored,positive
This is so good and so fun sometimes at the same time,good fun sometimes time,positive
So beautiful,beautiful,positive
it is good education,good education,positive
Enjoy this game.,enjoy game,positive
"Please Add Aden International Airport HD in Yemen in the next update, buildings, streets and Sia, and new Airplanes, B707, C-5 Galaxy, C-130 Hercules",please add aden international airport hd yemen next update building street sia new airplane b c galaxy c hercules,positive
Fun game ruined with ads,fun game ruined ad,negative
Free fire India,free fire india,positive
Great experience!,great experience,positive
Awesome game,awesome game,positive
Wonderful,wonderful,positive
"Really amazing game like something out of a Playstation. We just need another one with more of a storyline, too it . It was such an amazing game, and the chapters are challenging with something new to offer. And of course, the graphics and atmosphere are truly of art",really amazing game like something playstation need another one storyline amazing game chapter challenging something new offer course graphic atmosphere truly art,positive
Best game ever I'm absolutely addicted 😍,best game ever absolutely addicted smiling face heart eye,positive
Remove all gun skins and caracter,remove gun skin caracter,neutral
Achha game hai,achha game hai,neutral
Like💯👌🏻,like hundred point ok hand light skin tone,positive
"Ова игра је веома курац.Јако волим да ме киднапују црнци док играм ово.Управо сам у њиховом подруму.Плашим се да ми не напуне чмар.Усро сам се.Идаље,блок блест је курац.Прегазио ме је ауто.Тренутно сам у болници👍ЦРНЦИ СУ НА СЛОБОДИ!",ова игра је веома курац јако волим да ме киднапују црнци док играм ово управо сам у њиховом подруму плашим се да ми не напуне чмар усро сам се идаље блок блест је курац прегазио ме је ауто тренутно сам у thumb су на слободи,neutral
Way to many ads,way many ad,neutral
md.ebrahim hossen,md ebrahim hossen,neutral
It is the best game i have ever tried,best game ever tried,positive
Too many ads,many ad,neutral
Hay,hay,neutral
hi vọng game sập sớm,hi vọng game sập sớm,neutral
Very enjoyable,enjoyable,positive
terlalu mudah,terlalu mudah,neutral
Extra ordinary flying experience for a mobile game! With the cheap RFS pro flying is made simple.,extra ordinary flying experience mobile game cheap rf pro flying made simple,neutral
1/12/2024 My game keeps constantly crashing and restarting. I've been playing on mobile and PC for years and haven't had this problem occur before. I was playing just fine last night...now the game crashes after 4 minutes of playtime. It also doesn't restart at the last save. Pretty frustrating,game keep constantly crashing restarting playing mobile pc year problem occur playing fine last night game crash minute playtime also restart last save pretty frustrating,negative
"I love this game, I have put countless hours into it on the PC and the phone port is pretty solid. Perfect to decompress",love game put countless hour pc phone port pretty solid perfect decompress,positive
Really trash game lol,really trash game lol,positive
great,great,positive
Best sebab dapat jadi pilot lepastu dia macam real,best sebab dapat jadi pilot lepastu dia macam real,positive
it is absolutely absurd the amount of things you have to watch ads for. I shouldn't have to watch an ad to play a specific game mode. ESPECIALLY after paying to remove ads,absolutely absurd amount thing watch ad watch ad play specific game mode especially paying remove ad,positive
cập nhật xong lag vcl chả làm ăn được cái mẹ gì,cập nhật xong lag vcl chả làm ăn được cái mẹ gì,neutral
BEST GAME EVER,best game ever,positive
It is fun allowing to download it on play store,fun allowing download play store,positive
"Gamenya kok item doang ya, gambarnya gak kenrender....",gamenya kok item doang ya gambarnya gak kenrender,neutral
Meri first trial hai,meri first trial hai,neutral
"I like the game and the planes and graphics but I don't like that there's only 3 free plane pls add more free plane atleast the Boeing 737-100 or Boeing 727, Thank you",like game plane graphic like free plane pls add free plane atleast boeing boeing thank,positive
please don't purchase the game the demo version and paid version is same there are not extra levels here,please purchase game demo version paid version extra level,positive
Make it little more easy it's too difficult because without watching YouTube videos u can't go further... atleast I watched so many videos then I was able to solve... but steal after watching there are few chapters left only last 2...,make little easy difficult without watching youtube video go atleast watched many video able solve steal watching chapter left last,positive
The best !!!,best,positive
It's the best game ever its so cool,best game ever cool,positive
😍😍😍,smiling face heart eye smiling face heart eye smiling face heart eye,neutral
"Absolutely beautiful game. Out of the box. A dark poetrical errance in the most profound sadness. So dark, that glimpses of lights contrast like never.",absolutely beautiful game box dark poetrical errance profound sadness dark glimpse light contrast like never,positive
"the best shooting game I've ever played,",best shooting game ever played,positive
"Completed this game. The art style with the background music is absolutely great and the puzzles were also good and sometimes they do get hard and need multiple tries, it forces your brain to do more thinking. I would absolutely recommend this game it's great.",completed game art style background music absolutely great puzzle also good sometimes get hard need multiple try force brain thinking would absolutely recommend game great,positive
This game is awesome join in on the fun.,game awesome join fun,positive
Nothing like the ads!,nothing like ad,negative
Awesome,awesome,positive
I hate the ad it puts out when you wanna try the game it sends you to the app store to download it and I hate that how can I try out the game if you don't let me,hate ad put want try game sends app store download hate try game let,negative
I really like this game but it feels more repetitive with the new update. I miss the old maps and challenges the game used to have. Or the option to select different challenges freely without it popping up randomly only to play if you watch an ad.,really like game feel repetitive new update miss old map challenge game used option select different challenge freely without popping randomly play watch ad,positive
good game,good game,positive
ঙবাটপ,ঙবাটপ,neutral
The Game is pretty fun and don't put Ad's I don't know great game,game pretty fun put ad know great game,positive
great.,great,positive
Mampi Mondal i really like the game 😁,mampi mondal really like game beaming face smiling eye,positive
game hay,game hay,neutral
It's a good game but very different to the ads which is misleading.,good game different ad misleading,positive
"Ideal way to Pass Time, break from work, or even Grounding... The games and competition never end! You always Win, In More than One way!!",ideal way pas time break work even grounding game competition never end always win one way,neutral
"nice game, but a torture at the end",nice game torture end,negative
Just too much ads😡,much ad enraged face,negative
it's really fun l realized it was my only game l liked it very much l really don't like games but this one absolutely good thank you but too many ads ☺️,really fun l realized game l liked much l really like game one absolutely good thank many ad smiling face,positive
I just installed it now,installed,neutral
Amazing,amazing,positive
Dude I just re installed this game and my best was 5000 and now it's back to 0 what happened?,dude installed game best back happened,positive
Hey ROBTOP try make a update for 2.3 here's the following: Spotify will cooperate with geometry dash and add the songs from spotify Make a snake,hey robtop try make update following spotify cooperate geometry dash add song spotify make snake,neutral
It same like kic tok filter I like it,like kic tok filter like,positive
"Don't install, come over to my house (33 ossing NY) and knock on my door, say the passcode ding dong. Then I will let u inside to play it on my x box.",install come house ossing ny knock door say passcode ding dong let inside play x box,positive
To be honest I absolutely love this game I came back after a few years to replay it but as I was almost finished on the game on chapter 36 I am not able to click the arrows anymore or interact on that sort of level please fix this so I can progress and enjoy the rest of the game.,honest absolutely love game came back year replay almost finished game chapter able click arrow anymore interact sort level please fix progress enjoy rest game,positive
This game is so 😡😡😡😡😡😡🤮🤮🤮🤮,game enraged face enraged face enraged face enraged face enraged face enraged face face vomiting face vomiting face vomiting face vomiting,negative
love it but fix plz the glitch,love fix plz glitch,positive
"Good game great one even one single tiny little problem the pricing of rfs pro is absurd and seriously three planes to start with, i paid real money for a full game not ⅛ of a game. Please lower the price of rfs pro or make it a single purchase please personally would not recommend this game, rfs pro is overpriced",good game great one even one single tiny little problem pricing rf pro absurd seriously three plane start paid real money full game ⅛ game please lower price rf pro make single purchase please personally would recommend game rf pro overpriced,positive
Its super adickting and its sigma skibidi.,super adickting sigma skibidi,positive
Ff India 🥹,ff india face holding back tear,neutral
Love the game but wish there was more to the quest and that they weren't so hard to do but I do play this game a lot it is very addictive and relaxing to me at least I like it a lot,love game wish quest hard play game lot addictive relaxing least like lot,negative
Worst game ever multiple ad's,worst game ever multiple ad,negative
💩 game,pile poo game,neutral
ITs a super game.I like him and I love you FREE FIRE 🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰♥️♥️♥️♥️♥️❤️❤️❤️❤️❤️❤️❤️❤️❣️❣️❣️❣️💞💞💞💞💕💕💕💓💓💓,super game like love free fire smiling face heart smiling face heart smiling face heart smiling face heart smiling face heart smiling face heart smiling face heart smiling face heart smiling face heart smiling face heart smiling face heart smiling face heart smiling face heart smiling face heart heart suit heart suit heart suit heart suit heart suit red heart red heart red heart red heart red heart red heart red heart red heart heart exclamation heart exclamation heart exclamation heart exclamation revolving heart revolving heart revolving heart revolving heart two heart two heart two heart beating heart beating heart beating heart,positive
always bug with screen black. i hate it.,always bug screen black hate,negative
Good game but it takes like an hour to reach it's destination,good game take like hour reach destination,positive
game rất hay nha,game rất hay nha,neutral
First pay to play and then pay again to unlock literally every plane in the game other than two planes which are the only free ones,first pay play pay unlock literally every plane game two plane free one,positive
I enjoy it very much.,enjoy much,positive
Why is this game literly paid to win every plane besides the 3 main planes please why WHY edit:Developer i don't have a subscription,game literly paid win every plane besides main plane please edit developer subscription,positive
this is a bad game 😞,bad game disappointed face,negative
هكرز بزاف,هكرز بزاف,neutral
ok,ok,positive
"very great app, but need to restore some active skill ability back to normal",great app need restore active skill ability back normal,positive
Most amazing game,amazing game,positive
nice game😛😘,nice game face tongue face blowing kiss,positive
Good,good,positive
Nice,nice,positive
"If I had to choose one game to play for the rest of my life, it'd be this one! While sometimes I don't want to do some of the tasks, the game is really fun! Once you understand the mechanics, it becomes a breeze. Not to mention all the fun little ""hidden secrets"" and the jokes! 10/10 I recommend playing if you have the money and time! The affordable price is a bonus, especially for the game quality.",choose one game play rest life would one sometimes want task game really fun understand mechanic becomes breeze mention fun little hidden secret joke recommend playing money time affordable price bonus especially game quality,positive
This game is absolutely amazing. I've been playing since I was 6 yrs old and usually for 5hrs without realizing. I luv this game. Highly recommended 👌👌,game absolutely amazing playing since yr old usually hr without realizing love game highly recommended ok hand ok hand,positive
Love it,love,positive
A really great game all the way but it still can use some upgrades but other than that it's a good game,really great game way still use upgrade good game,positive
Completed in 2 days and I can say it was worth it!⭐ Loved it hope we get part 2 of it too! Soon..,completed day say worth star loved hope get part soon,positive
"Fun game ,but it does get monotonous",fun game get monotonous,positive
it's nice but if it was without adss it will be better,nice without ad better,positive
Why did they take off the options to battle ppl to become the biggest and one you kill them they're out!!!,take option battle people become biggest one kill,negative
Very okay 👍 and sweet,okay thumb sweet,positive
"As always, amazing game",always amazing game,positive
ibrani,ibrani,neutral
This is wonderful game,wonderful game,positive
Please do not download this game. Plenty of ads. It can ruin your mood,please download game plenty ad ruin mood,negative
Amazing,amazing,positive
i like this game but i want to play multiplayer,like game want play multiplayer,negative
No good,good,positive
Ff is the best,ff best,positive
Love this game,love game,positive
Not,,neutral
dau buoi,dau buoi,neutral
Soo good but have only 3 free plane,soo good free plane,positive
Absolutely wonderful,absolutely wonderful,positive
Good,good,positive
Good game with lots of content,good game lot content,positive
"de uns dias para cá o meu jogo não está entrando. Carrega a tela inicial, mas quando eu clico para carregar um jogo já feito ele vai para a tel de carregamento e saí.",de un dia para cá meu jogo não está entrando carrega tela inicial ma quando eu clico para carregar um jogo já feito ele vai para tel de carregamento e saí,neutral
Amazing,amazing,positive
That pencil game is so annoying. We can't even unblock any.,pencil game annoying even unblock,negative
An Ad every level? Plus those Ads in thr corners you have to press out the way. The puzzles seem fun but immediately get taken away because of the Ads.,ad every level plus ad thr corner press way puzzle seem fun immediately get taken away ad,positive
It's just ads,ad,neutral
"Great gameplay,tricky puzzles good game worthy for buying but it ends",great gameplay tricky puzzle good game worthy buying end,positive
Very good 9ne,good ne,positive
I like it it is soooo relaxing and claming,like soo relaxing claming,neutral
Thankyou for saving my mental health ♡,thankyou saving mental health ♡,neutral
THIS GAME IS BRILIANT I LIKE THIS GAME I RATE THIS GAME 5 STAR 🌟 PLEASE VERY IMPROVE GAME 🎮,game briliant like game rate game star glowing star please improve game video game,positive
Very cool if we had martinis. in the cockpit it would be just like i remember,cool martini cockpit would like remember,positive
I really like the layout of this game.,really like layout game,positive
đag chs game bị mẹ gankvs buồn ỉa mong nhà phát hành khắc phục,đag chs game bị mẹ gankvs buồn ỉa mong nhà phát hành khắc phục,neutral
হবে এমন,হবে এমন,neutral
Love it,love,positive
Aviation Life,aviation life,neutral
GG ALMOST 90 MOONS,gg almost moon,neutral
I love it,love,positive
"The game is really fun, you can fly, explore, simulate crashes, the only thing that made me give this 4 stars is RFS Pro. You can only access 3 planes and the rest you need Pro Ver. At least give like 4-6 more access to other planes instead of 3. Because then you get bored of just 3.",game really fun fly explore simulate crash thing made give star rf pro access plane rest need pro ver least give like access plane instead get bored,positive
Good,good,positive
This game is addictive...so much fun and you don't have to spend any money if you don't want to...the free spins help you get coins....so much fun!!,game addictive much fun spend money want free spin help get coin much fun,positive
Just love it,love,positive
amazing game,amazing game,positive
So beautiful to play block blast I like it is so Tagal Ng stress 😂😅,beautiful play block blast like tagal ng stress face tear joy grinning face sweat,positive
Chơi xấu MLBB :)),chơi xấyou mlbb,neutral
Good game,good game,positive
It's a good game,good game,positive
Fun and easy game,fun easy game,positive
30 secs playing and 1st add,sec playing st add,positive
Love this game! That's it,love game,positive
Please add multiplayer in mobile,please add multiplayer mobile,positive
"The game is fun, however I downloaded it from an ad for it playing another game, I thought it looked fun, however the block blast game that was advertised, (the one I wanted to play) is completely different from the game you get. Very disappointing. I cannot stand it when the market a completely different game than the one you get, hence 1 star, I would've given it 0 if I could, I am not a fan of being decieved.",game fun however downloaded ad playing another game thought looked fun however block blast game advertised one wanted play completely different game get disappointing stand market completely different game one get hence star would given could fan decieved,positive
A very nice and realistic flight simulator but it's very pay 2 win that's why I m giving it 4 stars,nice realistic flight simulator pay win giving star,positive
I love this game soo much but plz lunch Indian version,love game soo much plz lunch indian version,positive
Jdhjr Djsheje She Sis R 5sus ztzg,jdhjr djsheje si r sus ztzg,neutral
❤️❤️❤️❤️❤️❤️❤️❤️🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫😜😜😜😜😜😜😜😜😇🔊🦝🦝🦊🐴🐆🏟️🏕️🏕️,red heart red heart red heart red heart red heart red heart red heart red heart shushing face shushing face shushing face shushing face shushing face shushing face shushing face shushing face shushing face shushing face shushing face shushing face winking face tongue winking face tongue winking face tongue winking face tongue winking face tongue winking face tongue winking face tongue winking face tongue smiling face halo speaker high volume raccoon raccoon fox horse face leopard stadium camping camping,positive
It was horrible I couldn't even talk,horrible could even talk,negative
Best,best,positive
fghhhhhyy hai kya tum mere sath date 📅📅📅 hai hai kya hua aise hi nahi hai to kya kar rahe ho uthao revision karo cal exam hai mera to be choosen for you bubu jaan mara to hai n bas hai apna time lagega to be choosen to the tmko of time and my mumma and Nikita when I m not 🚭🚭 I m not feeling very nice and my home 🏠 and my mumma and Nikita when you bubu are not feeling well and my home let's see uh oh same time as I e sab t hai hai ye bhi h na ghr jkr le to tgghys hai ETF ka kya hua tha 1 ye,fghhyy hai kya tum mere sath date calendar calendar calendar hai hai kya hua aise hi nahi hai kya kar rahe ho uthao revision karo cal exam hai mera choosen bubu jaan mara hai n ba hai apna time lagega choosen tmko time mumma nikita smoking smoking feeling nice home house mumma nikita bubu feeling well home let u see uh oh time e sab hai hai ye bhi h na ghr jkr le tgghys hai etf ka kya hua tha ye,positive
Free Fire is best game. free fire mobile game is best,free fire best game free fire mobile game best,positive
It's sow good this game is sow funny☺️,sow good game sow funny smiling face,positive
Create and do much more,create much,positive
nice,nice,positive
the game is fun but if you reached 3000 plus points the blocks that are given aren't usefull anymore. my highscore only is 3500,game fun reached plus point block given usefull anymore highscore,positive
Free Readem cod,free readem cod,positive
Good,good,positive
I love this game because there's no need for internet and it get u addicted,love game need internet get addicted,positive
Very relaxing and it gets my mind to think critically,relaxing get mind think critically,positive
Garena teri mkc ☠️,garena teri mkc skull crossbones,neutral
NAIC,naic,neutral
This app helps me to do something new to rescue others 👍💕.,app help something new rescue others thumb two heart,positive
It's good,good,positive
"Great game on PC, but very neglected port on mobile. Settings reset, clicks doesn't register, UI is a hot mess, visual bugs and so on... No cloud saves as well, so forget about playing on mobile/tablet simultaneously...",great game pc neglected port mobile setting reset click register ui hot mess visual bug cloud save well forget playing mobile tablet simultaneously,positive
I WANT FF INDIA,want ff india,positive
I have no words but it's very fun and addictive.,word fun addictive,positive
Worst experience you have to buy inside the game,worst experience buy inside game,negative
amazing,amazing,positive
"I'm giving this game a 5 Star,. Doesn't need any explanation I hope.",giving game star need explanation hope,positive
Nice game. Love it.,nice game love,positive
nice,nice,positive
"Since this game has controller support, it doesn't map the trigger buttons for the rudders (I use a Joycon), really wish there's more control mapping on this. Also the replay system is sometimes bugged when I view the landing phase, while I landed it at the center, the replay views it as far away from the runway. - Add more updated waypoints for SID and STAR, it's useful for those who use .kml files - Some Asian airports are ignored to have HD - Heads Up Display needs a new look",since game controller support map trigger button rudder use joycon really wish control mapping also replay system sometimes bugged view landing phase landed center replay view far away runway add updated waypoints sid star useful use kml file asian airport ignored hd head display need new look,positive
🤔,thinking face,neutral
I win so much for gaming and I love the game yet but I think it's a 4 yet to me.,win much gaming love game yet think yet,positive
Intresting game,intresting game,neutral
"Way too many adds. Ads if you win, if you lose, if you need a revive. 30 seconds adds if you lose after placing 2-3 blocks. 30-60 seconds ads if you need a revive., and those ads stop my music and open playstore without me wanting to download it. Very bad.",way many add ad win lose need revive second add lose placing block second ad need revive ad stop music open playstore without wanting download bad,positive
I love this game! Probably one of my favorite indie games.,love game probably one favorite indie game,positive
Was not even able to start the game cause every half time I would get an add that would kick me out of the game to the open screen and I would have to close the app and start over and the same thing would happen,even able start game every half time would get add would kick game open screen would close app start thing would happen,neutral
Yep,yep,neutral
This game Is super fun... if you give this a 1 star and say this game is trash you are a bot/npc,game super fun give star say game trash bot npc,positive
v.v.v.v.v.v.v.v. Good game 👍,v v v v v v v v good game thumb,positive
Nice game,nice game,positive
Add coin system and add plan beying system beacuase many player poor and many player not perses RFS PRO so add this. ☺️,add coin system add plan beying system beacuase many player poor many player perses rf pro add smiling face,positive
We need a answer,need answer,neutral
"Scam, It depends on the game whether you lose or win, it always giving blocks that are impossible to place.",scam depends game whether lose win always giving block impossible place,negative
Soo good,soo good,positive
"i""m ok",ok,positive
So much fun,much fun,positive
Гоо,гоо,neutral
"I've played it over and over and over. Wishing every single time that I had never played it before, just so that I can experience the first time of bliss I ever played it. It's a masterpiece.",played wishing every single time never played experience first time bliss ever played masterpiece,positive
great,great,positive
Its an absolutely fun game with awesome controls and is 100% worthy of a second playthrough,absolutely fun game awesome control worthy second playthrough,positive
It's a great game 🎮,great game video game,neutral
So good the game is like real and I love the game and it is great for the players who are going to play the game.,good game like real love game great player going play game,positive
Beautiful amazing game. I really like it!,beautiful amazing game really like,positive
good,good,positive
"No skill need as you'll always have to watch a ad to keep going, programed to make you watch ads that's it, very annoying, yes ads are OK in moderation, not over saturated like in this game",skill need always watch ad keep going programed make watch ad annoying yes ad ok moderation saturated like game,positive
Super nice gameplay and just only signal week one mistake and gameplay nice good,super nice gameplay signal week one mistake gameplay nice good,positive
Make it free again creates or 1star,make free creates star,positive
I love free 🔥,love free fire,positive
I love this game,love game,positive
I like this game.,like game,positive
Enjoy sya and challenging,enjoy sya challenging,positive
Love this game,love game,positive
bad,bad,negative
"dm game như lolllll toàn bọn but bẩn nhiều ""ngọc thu""",dm game như loll toàn bọn bẩn nhiềyou ngọc thu,negative
Amazing.,amazing,positive
love it so much ❤️,love much red heart,positive
Nice,nice,positive
It's just fun,fun,positive
Great game,great game,positive
"Fun game, deserve a star",fun game deserve star,positive
it is great it makes you feel calm 💖🥺💖🥺😍😍😍😍😍🥰🥰 thanks you for sharing for as,great make feel calm sparkling heart pleading face sparkling heart pleading face smiling face heart eye smiling face heart eye smiling face heart eye smiling face heart eye smiling face heart eye smiling face heart smiling face heart thanks sharing,positive
Good,good,positive
Best game ever. Amazing for kids and adults.,best game ever amazing kid adult,positive
I love it 💯😍😍,love hundred point smiling face heart eye smiling face heart eye,positive
😘😅🫠😙😚🥰 I Love it 😀 😍 ❤️ ♥️ 💕 💖 😀 😍 ❤️ ♥️ 💕 💖 😀 😍 ❤️ ♥️ 💕 💖 😀 😍 ❤️ ♥️ die gut die sind sind oder 2nd die oder hat die sind sind sind sind was,face blowing kiss grinning face sweat melting face kissing face smiling eye kissing face closed eye smiling face heart love grinning face smiling face heart eye red heart heart suit two heart sparkling heart grinning face smiling face heart eye red heart heart suit two heart sparkling heart grinning face smiling face heart eye red heart heart suit two heart sparkling heart grinning face smiling face heart eye red heart heart suit die gut die sind sind oder nd die oder hat die sind sind sind sind,positive
we all played this as a kid everybody in my family has played this game geometry dash is great game it is definitely worth the money and if you maker games platformers or fast paste games or if if you like rage games that make you wanna break your key board geometry dash has it all,played kid everybody family played game geometry dash great game definitely worth money maker game platformers fast paste game like rage game make want break key board geometry dash,positive
forces you to watch ads by giving you the wrong blocks,force watch ad giving wrong block,negative
This game is okay it can get really boring don't recommend,game okay get really boring recommend,positive
"They exactly copied annoyed me and are making profit out of it, truly disgusting!",exactly copied annoyed making profit truly disgusting,neutral
Cuman punya 3 pesawat jelekkk,cuman punya pesawat jelekk,neutral
This game 🎮 is very good 👍,game video game good thumb,positive
